Customer Id,Customer Fname,Customer Lname,Customer Country,Customer City,Customer State
20755,Cally,Holloway,Puerto Rico,Caguas,PR
19492,Irene,Luna,Puerto Rico,Caguas,PR
19491,Gillian,Maldonado,EE. UU.,San Jose,CA
19490,Tana,Tate,EE. UU.,Los Angeles,CA
19489,Orli,Hendricks,Puerto Rico,Caguas,PR
19488,Kimberly,Flowers,EE. UU.,Tonawanda,NY
19487,Constance,Terrell,Puerto Rico,Caguas,PR
19486,Erica,Stevens,EE. UU.,Miami,FL
19485,Nichole,Olsen,Puerto Rico,Caguas,PR
19484,Oprah,Delacruz,EE. UU.,San Ramon,CA
19483,Germane,Short,Puerto Rico,Caguas,PR
19482,Freya,Robbins,EE. UU.,Freeport,NY
19481,Cassandra,Jensen,EE. UU.,Salinas,CA
19480,Natalie,Mcfadden,Puerto Rico,Caguas,PR
19479,Kimberley,Sharpe,EE. UU.,Peabody,MA
19478,Sade,Lancaster,Puerto Rico,Caguas,PR
19477,Brynne,Giles,Puerto Rico,Canovanas,PR
19476,Ciara,Bird,EE. UU.,Paramount,CA
19475,Bo,Griffin,Puerto Rico,Caguas,PR
19474,Kim,Simon,EE. UU.,Mount Prospect,IL
19473,Kellie,Farmer,EE. UU.,Long Beach,CA
19472,Alma,Conley,Puerto Rico,Caguas,PR
19471,Yeo,Bird,EE. UU.,Rancho Cordova,CA
19470,Lucy,Mcknight,Puerto Rico,Caguas,PR
19469,Simone,Vance,EE. UU.,Billings,MT
19468,Roary,Wheeler,Puerto Rico,Caguas,PR
19467,Quail,Ashley,EE. UU.,Wilkes Barre,PA
19466,Hannah,Velez,Puerto Rico,Caguas,PR
19465,Evelyn,Kelly,EE. UU.,Roseville,MI
19464,Jael,Mcfarland,EE. UU.,Bellflower,CA
19463,Teagan,Romero,Puerto Rico,Caguas,PR
19462,Joan,Wilder,EE. UU.,Wheaton,IL
19461,Basia,Watts,Puerto Rico,Caguas,PR
19460,Dominique,Rogers,EE. UU.,Detroit,MI
19459,Ainsley,Mathis,EE. UU.,Dallas,TX
19458,Aurora,Sharp,Puerto Rico,Caguas,PR
19457,Libby,Bray,EE. UU.,Carlisle,PA
19456,Amy,Lindsay,EE. UU.,Dallas,TX
19455,Ivory,Parks,Puerto Rico,Caguas,PR
19454,Karina,Prince,EE. UU.,Newark,DE
19453,Deanna,Goff,EE. UU.,Panorama City,CA
19452,Dacey,Walters,Puerto Rico,Caguas,PR
19451,Adele,Pennington,EE. UU.,Atlanta,GA
19450,Sybill,Spencer,Puerto Rico,Caguas,PR
19449,Kay,Sandoval,EE. UU.,Fremont,CA
19448,Stacy,Mckinney,Puerto Rico,Caguas,PR
19447,Marah,Lara,EE. UU.,Rochester,NY
19446,Taylor,Wood,EE. UU.,Dallas,TX
9083,Mary,Frank,Puerto Rico,Bayamon,PR
4741,Mary,Smith,Puerto Rico,Caguas,PR
639,Elizabeth,Pittman,Puerto Rico,Caguas,PR
9702,Katherine,Tyler,Puerto Rico,Caguas,PR
9114,Mary,Smith,Puerto Rico,Caguas,PR
1362,Dennis,Smith,Puerto Rico,Caguas,PR
8011,Mary,Hill,Puerto Rico,Caguas,PR
3296,Mary,Smith,Puerto Rico,Caguas,PR
3182,Frances,Smith,Puerto Rico,Caguas,PR
7864,Alice,Smith,Puerto Rico,Caguas,PR
11169,Kyle,Thomas,Puerto Rico,Caguas,PR
5197,Brenda,Jordan,Puerto Rico,Caguas,PR
1535,Frank,Livingston,Puerto Rico,Caguas,PR
6122,Johnny,Smith,Puerto Rico,Caguas,PR
9451,Mary,Smith,Puerto Rico,Caguas,PR
542,Mary,Smith,Puerto Rico,Caguas,PR
11329,Hannah,Smith,Puerto Rico,Caguas,PR
3570,Mary,Nelson,Puerto Rico,Caguas,PR
650,Austin,Sexton,Puerto Rico,Caguas,PR
9353,Michael,Scott,Puerto Rico,Caguas,PR
54,Mary,Olson,Puerto Rico,Caguas,PR
12151,Vincent,Krueger,Puerto Rico,Caguas,PR
10018,Gregory,Rodriguez,Puerto Rico,Caguas,PR
4936,Kyle,Smith,Puerto Rico,Caguas,PR
8707,Lisa,Smith,Puerto Rico,Caguas,PR
1025,Megan,Todd,Puerto Rico,Caguas,PR
8831,Mary,Smith,Puerto Rico,Caguas,PR
10679,Mary,Smith,Puerto Rico,Caguas,PR
5007,Mary,Smith,Puerto Rico,Caguas,PR
9854,Mary,Smith,Puerto Rico,Caguas,PR
376,Grace,Sanchez,Puerto Rico,Caguas,PR
5417,Dennis,Meyer,Puerto Rico,Caguas,PR
10759,Douglas,Smith,Puerto Rico,Caguas,PR
8541,Mary,Smith,Puerto Rico,Caguas,PR
3752,Mary,Vega,Puerto Rico,Caguas,PR
4673,Wayne,Hodges,Puerto Rico,Caguas,PR
5367,Mary,Mccormick,Puerto Rico,Caguas,PR
10485,Mary,Smith,Puerto Rico,Caguas,PR
9272,Ronald,Blackwell,Puerto Rico,Caguas,PR
647,Mary,Rios,Puerto Rico,Caguas,PR
6398,Tammy,Smith,Puerto Rico,Caguas,PR
4209,Mary,Lara,Puerto Rico,Caguas,PR
8917,Mary,Smith,Puerto Rico,Caguas,PR
7784,Mary,Smith,Puerto Rico,Caguas,PR
1425,Christina,Harvey,Puerto Rico,Caguas,PR
2737,Mary,Smith,Puerto Rico,Caguas,PR
6428,Mary,Smith,Puerto Rico,Caguas,PR
6543,Alexander,Smith,Puerto Rico,Caguas,PR
3990,Sandra,Smith,Puerto Rico,Guayama,PR
8524,Ruth,Farrell,Puerto Rico,Caguas,PR
9204,Mary,Harris,Puerto Rico,Caguas,PR
11761,Lauren,Coleman,Puerto Rico,Caguas,PR
9554,Mary,Hayes,Puerto Rico,Caguas,PR
5118,Mary,Smith,Puerto Rico,Caguas,PR
5506,Gregory,Smith,Puerto Rico,Caguas,PR
1423,Mary,Day,Puerto Rico,Caguas,PR
138,Mary,Dawson,Puerto Rico,Caguas,PR
6360,Mary,Phillips,Puerto Rico,Caguas,PR
2053,Ronald,Smith,Puerto Rico,Caguas,PR
10344,Mary,Smith,Puerto Rico,Juana Diaz,PR
3375,Mary,Sanchez,Puerto Rico,Caguas,PR
1339,Melissa,Mack,Puerto Rico,Caguas,PR
7247,Mary,Smith,Puerto Rico,Caguas,PR
1273,Maria,Evans,Puerto Rico,Caguas,PR
6277,Eugene,Smith,Puerto Rico,Caguas,PR
7701,James,Lawson,Puerto Rico,Caguas,PR
4126,John,Stokes,Puerto Rico,Caguas,PR
9528,Mary,Flores,Puerto Rico,Caguas,PR
1853,Mary,Austin,Puerto Rico,Caguas,PR
11149,Roy,Smith,Puerto Rico,Caguas,PR
5828,Katherine,Oconnell,Puerto Rico,Caguas,PR
6887,Mary,Smith,Puerto Rico,Caguas,PR
4781,Janet,Smith,Puerto Rico,Caguas,PR
10668,Mary,Smith,Puerto Rico,Caguas,PR
5421,Mary,Carlson,Puerto Rico,Caguas,PR
10200,Nicole,Smith,Puerto Rico,Caguas,PR
11254,Sharon,Smith,Puerto Rico,Caguas,PR
11106,Mary,Navarro,Puerto Rico,Caguas,PR
8456,Mary,Smith,Puerto Rico,Caguas,PR
6149,Matthew,Bush,Puerto Rico,Caguas,PR
1473,Anthony,Young,Puerto Rico,Caguas,PR
1840,Jerry,Smith,Puerto Rico,Caguas,PR
6757,Mary,Freeman,Puerto Rico,Caguas,PR
3972,Laura,Bennett,Puerto Rico,Caguas,PR
9316,Megan,Sanders,Puerto Rico,Caguas,PR
11213,Mary,Black,Puerto Rico,Caguas,PR
3474,Jack,Hatfield,Puerto Rico,Caguas,PR
14630,Kirestin,Barr,Puerto Rico,Caguas,PR
13256,Nora,Downs,Puerto Rico,Caguas,PR
14665,Jennifer,Stokes,Puerto Rico,Caguas,PR
13363,Madonna,Ingram,Puerto Rico,Caguas,PR
14645,Noelani,Hyde,Puerto Rico,Caguas,PR
13163,Sydnee,Nolan,Puerto Rico,Caguas,PR
14553,Willa,Potter,Puerto Rico,Caguas,PR
14287,Alma,Delgado,Puerto Rico,Caguas,PR
13179,Ila,Knight,Puerto Rico,Caguas,PR
13035,Belle,Booker,Puerto Rico,Caguas,PR
14322,Alyssa,Contreras,Puerto Rico,Caguas,PR
13196,Lani,Nash,Puerto Rico,Caguas,PR
14604,Demetria,Jarvis,Puerto Rico,Caguas,PR
12961,Joan,Nixon,Puerto Rico,Caguas,PR
14676,Gay,Harper,Puerto Rico,Caguas,PR
14087,Audrey,Acosta,Puerto Rico,Caguas,PR
13194,Riley,Jones,Puerto Rico,Caguas,PR
14513,Imani,Kelly,Puerto Rico,Caguas,PR
13461,Mechelle,Parker,Puerto Rico,Caguas,PR
14510,Imani,Castaneda,Puerto Rico,Caguas,PR
13190,Whitney,Henderson,Puerto Rico,Caguas,PR
14508,Roanna,Martin,Puerto Rico,Caguas,PR
14472,Vivian,Hays,Puerto Rico,Caguas,PR
14562,Xantha,Brock,Puerto Rico,Caguas,PR
13206,Zia,Davis,Puerto Rico,Caguas,PR
13080,Mara,Duffy,Puerto Rico,Caguas,PR
14633,Sloane,Long,Puerto Rico,Caguas,PR
14097,Winifred,Alexander,Puerto Rico,Caguas,PR
13024,Giselle,Farrell,Puerto Rico,Caguas,PR
778,John,Buckley,Puerto Rico,Caguas,PR
7146,Nancy,Curry,Puerto Rico,Caguas,PR
6365,Mary,Smith,Puerto Rico,Caguas,PR
8422,Wayne,Crawford,Puerto Rico,Caguas,PR
3784,Mary,Sharp,Puerto Rico,Caguas,PR
10519,Mary,Smith,Puerto Rico,Caguas,PR
7132,David,Guerra,Puerto Rico,Caguas,PR
3709,Mary,Padilla,Puerto Rico,Caguas,PR
1509,Patricia,Petersen,EE. UU.,Freeport,NY
1636,Julie,Petersen,EE. UU.,Fort Washington,MD
